total_rooms,total_bedrooms,population,households,house_value
880,129,322,126,452600
7099,1106,2401,1138,358500
1467,190,496,177,352100
1274,235,558,219,341300
1627,280,565,259,342200
919,213,413,193,269700
2535,489,1094,514,299200
3104,687,1157,647,241400
2555,665,1206,595,226700
3549,707,1551,714,261100
2202,434,910,402,281500
3503,752,1504,734,241800
2491,474,1098,468,213500
696,191,345,174,191300
2643,626,1212,620,159200
1120,283,697,264,140000
1966,347,793,331,152500
1228,293,648,303,155500
2239,455,990,419,158700
1503,298,690,275,162900
751,184,409,166,147500
1639,367,929,366,159800
2436,541,1015,478,113900
1688,337,853,325,99700
2224,437,1006,422,132600
535,123,317,119,107500
1130,244,607,239,93800
1898,421,1102,397,105500
2082,492,1131,473,108900
729,160,395,155,132000
1916,447,863,378,122300
2153,481,1168,441,115200
1922,409,1026,335,110400
1655,366,754,329,104900
2665,574,1258,536,109700
1215,282,570,264,97200
1798,432,987,374,104500
1511,390,901,403,103900
1470,330,689,309,191400
2432,715,1377,696,176000
1665,419,946,395,155400
936,311,517,249,150000
713,202,462,189,118800
950,202,467,198,188800
1443,311,660,292,184400
1656,420,718,382,182300
1125,322,616,304,142500
1007,312,558,253,137500
624,195,423,160,187500
946,375,700,352,112500
896,453,735,438,171900
1868,456,1061,407,93800
3221,853,1959,720,97500
1630,456,1162,400,104200
1170,235,701,233,87500
945,243,576,220,83100
1238,288,622,259,87500
1489,335,728,244,85300
1387,341,1074,304,80300
158,43,94,57,60000
1121,211,554,187,75700
135,29,86,23,75000
760,190,377,122,86100
1224,237,521,159,76100
828,182,392,133,73500
1010,209,604,187,78400
1455,354,788,332,84400
1027,244,492,147,81300
572,109,274,82,85000
2801,644,1823,611,129200
768,152,392,127,82500
935,297,582,277,95200
844,204,560,152,75000
12,4,18,7,67500
835,161,290,133,137500
1237,462,762,439,177500
2914,562,1236,509,102100
1207,243,721,207,108300
1745,374,1054,325,112500
684,176,344,155,131300
924,289,609,289,162500
210,56,183,56,112500
340,97,200,87,112500
386,164,346,155,137500
948,184,467,169,118800
773,143,377,115,98200
880,451,582,380,118800
875,348,546,330,162500
105,42,125,39,137500
249,78,396,85,500001
994,392,800,362,162500
215,87,904,88,137500
96,31,191,34,162500
1055,347,718,302,187500
1715,623,1327,467,179200
5329,2477,3469,2323,130000
4596,1331,2048,1180,183800
335,107,202,91,125000
3682,1270,2024,1250,170000
3633,1085,1838,980,193100
4656,1414,2304,1250,257800
5806,1603,2563,1497,273400
854,242,389,228,237500
2155,701,895,613,350000
5871,1914,2689,1789,335700
1509,225,674,244,313400
2026,482,709,456,268500
1758,460,686,422,259400
3481,751,1444,718,275700
3337,855,1520,802,225000
1424,289,550,253,262500
3809,1098,1806,1022,218500
3959,1196,1749,1217,255000
2376,559,939,519,224100
1613,428,675,422,243100
1279,287,534,291,231600
5022,1750,2558,1661,218500
4190,1105,1786,1037,234100
2515,399,970,373,327600
3175,454,1098,485,347600
2576,406,794,376,366100
334,54,98,47,335000
2800,411,1061,403,373600
3529,574,1177,555,389500
2612,365,901,367,391100
5287,1048,2031,956,337300
2935,473,1031,479,295200
3424,597,1358,597,292300
4991,674,1616,654,411500
2211,346,844,343,311500
3038,490,1140,496,325900
1617,210,533,194,392600
2865,460,1072,443,319300
5065,788,1627,766,333300
1326,184,463,190,335200
1589,223,542,211,351200
1791,271,661,269,368900
1835,264,635,263,365900
1229,181,420,176,366700
3770,534,1265,500,362800
292,38,126,52,483300
2375,333,813,350,331400
2964,436,1067,426,323500
2833,605,1260,552,216700
2254,535,951,487,233100
1389,212,510,224,296400
1971,335,765,308,273700
2183,465,1129,460,227700
2286,464,1073,441,199600
2721,541,1185,515,239800
2024,339,756,340,270100
2944,536,1034,521,302100
2033,486,787,459,269500
1433,229,612,213,314700
2927,402,1021,380,390100
2315,292,861,258,410300
2485,313,953,327,352400
1490,238,634,256,287300
2814,365,878,352,348700
2093,550,918,483,243800
888,168,360,175,211500
2087,510,1197,488,218400
2513,502,1048,518,269900
3232,835,1373,747,218800
4120,1065,1715,1015,225000
2364,792,1359,722,250000
1471,469,1062,413,171400
2468,864,1335,773,193800
1632,492,1171,429,125000
1786,526,1475,460,97500
629,188,742,196,125000
1339,391,1086,363,138800
1678,606,1645,543,116700
2344,647,1710,644,151800
996,228,731,228,127000
1591,373,1118,347,128600
1586,398,1006,335,140600
2046,588,1213,554,182700
1192,289,772,257,146900
1803,420,1321,401,122800
2838,749,1487,677,169300
783,184,488,186,126600
1590,414,949,392,127900
1746,480,1149,415,123500
1252,299,844,280,111900
5963,1344,4367,1231,112800
1783,395,1659,412,107900
999,264,1011,263,137500
1469,431,1464,389,105500
1372,395,1237,303,95500
674,180,647,168,116100
1626,376,1284,357,112200
175,43,228,55,75000
461,129,381,123,112500
902,237,846,227,125000
2373,779,1659,676,115000
391,128,520,138,95000
1137,301,866,259,96400
769,206,612,183,72000
472,146,415,126,71300
862,215,994,213,80800
1920,530,1525,477,128800
1420,472,1506,438,112500
986,258,1008,255,119400
2340,825,2813,751,118100
1696,396,1481,343,122500
1175,217,859,219,106300
2343,574,1608,523,132500
610,145,425,140,122700
930,199,564,184,113300
1487,314,961,272,109500
3424,690,2273,685,164700
762,190,600,195,125000
2366,575,1647,527,124700
1826,450,1201,424,136700
3049,711,2167,659,141700
1640,376,939,340,150000
1543,307,859,292,138800
2364,557,1517,516,139200
1745,409,1143,386,143800
2003,500,1109,464,156500
2018,447,1221,446,151000
3045,499,1115,455,273000
1547,293,706,268,217100
3519,711,1883,706,187100
2070,354,804,340,239600
1321,263,506,252,229700
1694,259,610,238,257300
1938,341,768,332,246900
968,195,462,184,179900
1060,256,667,235,169600
2041,405,1059,399,203300
1813,271,637,277,263400
2718,451,1106,454,231800
3144,761,1737,669,140500
1802,459,1009,390,126000
882,195,737,210,122000
1621,452,1354,491,134700
2115,533,1530,474,139400
2021,528,1410,480,115400
2239,508,1390,569,137300
1477,300,1065,269,137000
1056,224,792,245,142600
898,244,779,245,137500
2968,710,2269,610,111700
1702,460,1227,407,126800
881,248,753,241,111300
494,114,547,135,114800
1776,473,1807,440,102300
1678,514,1700,495,131900
1637,463,1543,393,119100
1420,314,1085,300,80600
591,173,353,137,80600
745,153,473,149,88800
2272,498,1621,483,102400
1234,375,1183,354,98700
1017,328,836,277,100000
932,254,900,263,92300
2689,597,1888,537,94800
1547,415,1024,341,102000
2300,443,1225,423,158400
1752,399,1071,376,121600
1867,403,1128,378,129100
2430,502,1537,484,121400
1729,414,1240,393,102800
1026,180,469,168,160000
2170,428,1086,425,143900
2329,445,1144,417,151200
2492,415,1109,375,164400
2198,397,984,369,156500
142,31,575,47,225000
1183,205,496,209,174200
1070,193,555,190,166900
1766,332,869,327,163500
617,95,236,106,253000
1411,233,626,214,240700
2109,387,922,329,208100
1229,243,582,256,198100
954,217,546,201,172800
1643,262,620,266,336700
1355,195,442,195,318200
2317,336,955,328,285800
2459,317,916,324,293000
12842,2048,4985,1967,371000
1524,260,651,267,157300
3326,746,1704,703,135300
1985,440,1085,407,136700
1642,322,713,284,160700
893,177,468,181,140600
653,128,296,121,144000
1256,,570,218,161900
977,194,446,180,156300
2324,397,968,384,176000
1583,349,857,316,145800
1612,342,912,322,141900
2424,533,1360,452,90700
1594,367,1074,355,90600
2118,413,965,382,107900
1575,358,933,320,107000
1764,397,987,354,98200
1187,261,907,246,89500
754,175,447,165,93800
2308,452,1299,451,96700
909,236,396,157,97500
1180,257,877,268,97300
2018,408,1111,367,91200
1368,282,790,269,91400
2744,547,1479,554,96200
2107,471,1173,438,120100
1748,362,1029,366,100000
2024,391,1030,350,94700
1116,259,826,279,85700
2036,510,1412,454,89300
1852,393,1132,349,101400
921,207,522,159,72500
995,238,630,237,74100
606,132,531,133,70000
2680,736,1925,667,84600
1493,370,1144,351,81800
2207,565,1481,520,81400
856,189,435,162,81800
1293,297,984,303,85800
847,212,567,159,87100
541,154,380,123,83500
1066,253,825,244,79700
707,147,417,155,83400
1528,291,801,287,84700
909,215,646,198,80000
1391,293,855,285,76400
548,119,435,136,79700
4074,874,2736,780,82400
1613,445,1481,414,97700
463,134,327,137,97200
818,193,494,179,101600
1473,371,1231,341,86500
504,126,323,109,90500
1026,226,749,225,107600
769,183,693,178,84200
2103,391,1339,354,88900
330,76,282,80,80700
941,218,621,195,87100
992,,732,259,85100
990,261,901,260,82000
1126,263,482,150,82800
1036,233,652,213,84600
1047,214,651,166,82100
1280,307,999,286,89300
1587,320,907,306,98300
1257,271,828,230,92300
1218,248,763,254,88800
1751,390,935,349,90000
2299,514,1437,484,95500
2457,624,1516,482,91700
998,211,597,185,100400
1685,343,949,342,94800
1827,307,881,302,164300
2781,574,1438,519,155500
1823,286,763,270,196900
2229,365,1297,355,279100
1513,231,545,211,252800
3266,491,1222,533,275400
1809,261,808,219,250000
794,111,329,109,329800
690,105,299,109,195500
1334,200,579,202,255900
414,54,137,50,311100
768,93,229,93,330000
4400,666,1476,648,248900
954,161,429,154,142900
1445,256,849,255,126300
1938,399,946,331,135800
